# time totalContactTime
441.6000 55629.0000
442.6000 55755.0000
443.6000 55881.0000
444.6000 56007.0000
445.6000 56133.0000
446.6000 56259.0000
447.6000 56385.0000
448.6000 56511.0000
449.6000 56637.0000
450.6000 56763.0000
451.6000 56889.0000
452.6000 57015.0000
453.6000 57141.0000
454.6000 57267.0000
455.6000 57393.0000
456.6000 57519.0000
457.6000 57645.0000
458.6000 57771.0000
459.6000 57897.0000
460.6000 58023.0000
461.6000 58149.0000
462.6000 58275.0000
463.6000 58401.0000
464.6000 58527.0000
465.6000 58653.0000
466.6000 58779.0000
467.6000 58905.0000
468.6000 59031.0000
469.6000 59157.0000
470.6000 59283.0000
471.6000 59409.0000
472.6000 59535.0000
473.6000 59661.0000
474.6000 59787.0000
475.6000 59913.0000
476.6000 60039.0000
477.6000 60165.0000
478.6000 60291.0000
479.6000 60417.0000
480.6000 60543.0000
481.6000 60669.0000
482.6000 60795.0000
483.6000 60921.0000
484.6000 61047.0000
485.6000 61173.0000
486.6000 61299.0000
487.6000 61425.0000
488.6000 61551.0000
489.6000 61677.0000
490.6000 61803.0000
491.6000 61929.0000
492.6000 62055.0000
493.6000 62181.0000
494.6000 62307.0000
495.6000 62433.0000
496.6000 62559.0000
497.6000 62685.0000
498.6000 62811.0000
499.6000 62937.0000
500.6000 63063.0000
501.6000 63189.0000
502.6000 63315.0000
503.6000 63441.0000
504.6000 63567.0000
505.6000 63693.0000
506.6000 63819.0000
507.6000 63945.0000
508.6000 64071.0000
509.6000 64197.0000
510.6000 64323.0000
511.6000 64449.0000
512.6000 64575.0000
513.6000 64701.0000
514.6000 64827.0000
515.6000 64953.0000
516.6000 65079.0000
517.6000 65205.0000
518.6000 65331.0000
519.6000 65457.0000
520.6000 65583.0000
521.6000 65709.0000
522.6000 65835.0000
523.6000 65961.0000
524.6000 66087.0000
525.6000 66213.0000
526.6000 66339.0000
527.6000 66465.0000
528.6000 66591.0000
529.6000 66717.0000
530.6000 66843.0000
531.6000 66969.0000
532.6000 67095.0000
533.6000 67221.0000
534.6000 67347.0000
535.6000 67473.0000
536.6000 67599.0000
537.6000 67725.0000
538.6000 67851.0000
539.6000 67977.0000
540.6000 68103.0000
541.6000 68229.0000
